epoch,train_loss,val_rmse,val_mae,val_r2,val_accuracy,val_f1
1,0.8216232721294675,0.9723620908277243,0.7787042260169983,-0.019958972930908203,0.4411764705882353,0.43679163034001744
2,0.7516421407461167,0.8622605862253819,0.6654834747314453,0.19794577360153198,0.5,0.4960767218831735
3,0.6316235380513328,0.806953868128833,0.6319855451583862,0.2975360155105591,0.6176470588235294,0.6146469049694856
4,0.5778582504817418,0.9444018935609905,0.728928804397583,0.03785538673400879,0.7352941176470589,0.7350649350649351
5,0.6783447642411504,0.9374317780149721,0.7224187254905701,0.052005112171173096,0.5294117647058824,0.5142857142857142
6,0.6322900001491819,0.8582917061374891,0.6821839213371277,0.2053123116493225,0.6470588235294118,0.6357142857142857
7,0.555602140724659,0.877303769159433,0.6768655776977539,0.16971606016159058,0.5882352941176471,0.5750000000000001
8,0.6855664336255618,0.7606707283511144,0.48526692390441895,0.3758053183555603,0.4411764705882353,0.4164408310749774
9,0.6908015791858946,0.7406822600945031,0.5656036734580994,0.40817874670028687,0.5588235294117647,0.5553618134263295
10,0.6601601977433477,0.6473243764988714,0.4990832805633545,0.5479665398597717,0.5882352941176471,0.5641025641025641
11,0.6987508475780487,0.6796637125347059,0.5369096398353577,0.5016725063323975,0.5588235294117647,0.5553618134263295
12,0.6741438833730561,0.7519553048238494,0.61005038022995,0.3900268077850342,0.6470588235294118,0.6421052631578947
13,0.7195290244051389,0.7627684964713324,0.608938992023468,0.37235772609710693,0.5588235294117647,0.5553618134263295
14,0.874490635735648,0.7684631293119456,0.6059463024139404,0.3629511594772339,0.6176470588235294,0.6173160173160173
15,0.7650031894445419,0.6859829811537504,0.5163790583610535,0.492362916469574,0.6470588235294118,0.6421052631578947
16,0.8285238342625755,0.7410716050257776,0.5949278473854065,0.407556414604187,0.5294117647058824,0.5142857142857142
17,0.9037807894604547,0.6784859483341896,0.5385246872901917,0.5033981204032898,0.6176470588235294,0.6091954022988505
18,0.823467960527965,0.6941274552606691,0.5247234106063843,0.48023730516433716,0.5882352941176471,0.5882352941176471
19,0.9340323903730937,0.7232241486914609,0.5184018611907959,0.43574875593185425,0.5882352941176471,0.5882352941176471
20,1.0157704042536873,0.7351351922451954,0.5769197344779968,0.41701000928878784,0.5882352941176471,0.5868055555555556
21,0.9945738975490842,0.7406820186765928,0.551123321056366,0.4081791043281555,0.6176470588235294,0.6146469049694856
22,1.0487837814858982,0.7258883804735579,0.5206183791160583,0.43158388137817383,0.5882352941176471,0.5868055555555556
23,0.9993754084621157,0.7126349003560268,0.5160523056983948,0.45215100049972534,0.6764705882352942,0.6761904761904761
24,0.9240757205656597,0.663145149744568,0.4820520579814911,0.5256009101867676,0.5588235294117647,0.5584415584415584
25,0.9640010156801768,0.7559442989931446,0.565250039100647,0.38353806734085083,0.6764705882352942,0.6739319965126417
26,0.9729356190987996,0.740224591595659,0.5464107394218445,0.4089099168777466,0.7647058823529411,0.7638888888888888
27,0.8514600651604789,0.7445015820319261,0.5493675470352173,0.40205955505371094,0.6176470588235294,0.6146469049694856
28,0.8913525438734463,0.7442343745412529,0.5691438913345337,0.40248870849609375,0.6470588235294118,0.6458333333333333
29,0.9603845745325088,0.7574370722551899,0.5807958841323853,0.38110101222991943,0.6470588235294118,0.6421052631578947
30,0.9083251836044448,0.7178444340685051,0.5481420159339905,0.4441119432449341,0.6470588235294118,0.6458333333333333
31,0.8805170133709908,0.7640857404361064,0.5764725804328918,0.3701881170272827,0.6470588235294118,0.6357142857142857
32,0.8134098727788244,0.7039931130451681,0.5221958160400391,0.4653574824333191,0.6176470588235294,0.6091954022988505
33,0.8433488315769604,0.7425087885866318,0.5439918041229248,0.40525633096694946,0.5882352941176471,0.5824561403508772
34,0.8660658478736878,0.7940760055648518,0.6355088353157043,0.31977778673171997,0.5588235294117647,0.5490716180371353
35,0.7861480236053466,0.7608675773813806,0.575257420539856,0.3754822015762329,0.5882352941176471,0.5824561403508772
36,0.8962359102708953,0.7422158085293096,0.5691709518432617,0.40572553873062134,0.5882352941176471,0.5868055555555556
37,0.8860307227287973,0.7260155208336762,0.544390857219696,0.431384801864624,0.6470588235294118,0.6458333333333333
38,0.9034063462700163,0.7013720808333851,0.537612795829773,0.46933114528656006,0.6470588235294118,0.6357142857142857
